image,prompt_used,sam3_candidate_count,sam3_selected_score,sam3_text_iou,sam3_refined_iou,neighbor_candidate_count,fallback_reason,center_selection_score
W23010301W13.jpg,blueberry bush,1,0.7769,0.816,0.8574,0,,0.566
W23010301W14.jpg,blueberry bush,1,0.7141,0.7982,0.837,0,,0.5604
W23010301W15.jpg,blueberry bush,1,0.7836,0.9534,0.9264,0,,0.5562
W23010415W13.jpg,blueberry bush,1,0.7914,0.9732,0.9114,0,,0.5606
W23010415W14.jpg,blueberry bush,1,0.8484,0.9603,0.9483,0,,0.5738
W23010415W15.jpg,blueberry bush,1,0.865,0.9519,0.8761,0,,0.5697
W23010504W13.jpg,blueberry bush,1,0.6264,0.9359,0.9054,0,,0.5269
W23010504W14.jpg,blueberry bush,1,0.8215,0.813,0.8377,0,,0.5741
W23010504W15.jpg,blueberry bush,1,0.7848,0.8953,0.9096,0,,0.5612
W23010507W13.jpg,blueberry bush,1,0.8427,0.8633,0.8609,0,,0.5872
W23010507W14.jpg,blueberry bush,1,0.8475,0.9535,0.9333,0,,0.5756
W23010507W15.jpg,blueberry bush,1,0.8608,0.9559,0.8731,0,,0.5788
W23010508W13.jpg,blueberry bush,1,0.614,0.8532,0.8403,0,,0.5505
W23010508W14.jpg,blueberry bush,1,0.6971,0.9124,0.8056,0,,0.5858
W23010508W15.jpg,blueberry bush,1,0.6969,0.8867,0.8063,0,,0.5768
W23010509W13.jpg,blueberry bush,1,0.4506,0.7344,0.7738,0,,0.5017
W23010509W14.jpg,blueberry bush,1,0.4144,0.7979,0.8058,0,,0.5064
W23010509W15.jpg,blueberry bush,1,0.7335,0.8423,0.8194,0,,0.5995
W23010511W13.jpg,blueberry bush,1,0.7758,0.9364,0.9074,0,,0.5787
W23010511W14.jpg,blueberry bush,1,0.8222,0.97,0.8865,0,,0.5905
W23010511W15.jpg,blueberry bush,1,0.867,0.9619,0.8581,0,,0.5867
W23010601W13.jpg,blueberry bush,1,0.8304,0.9506,0.8999,0,,0.5801
W23010601W14.jpg,blueberry bush,1,0.7314,0.8716,0.8707,0,,0.6041
W23010601W15.jpg,blueberry bush,1,0.8787,0.8213,0.8429,0,,0.6444
W23010602W13.jpg,blueberry bush,3,0.4615,1.0,0.8098,2,refine_lost_seed,0.2797
W23010602W14.jpg,blueberry bush,3,0.7303,0.8178,0.8692,2,,0.6073
W23010602W15.jpg,blueberry bush,3,0.4896,0.9459,0.9275,2,,0.5165
W23010604W13.jpg,blueberry bush,1,0.735,0.7572,0.8427,0,,0.6012
W23010604W14.jpg,blueberry bush,1,0.7917,0.8581,0.8654,0,,0.6426
W23010604W15.jpg,blueberry bush,1,0.8716,0.772,0.7997,0,,0.6452
W23010605W13.jpg,blueberry bush,1,0.6979,0.7971,0.839,0,,0.5864
W23010605W14.jpg,blueberry bush,1,0.7989,0.8165,0.8419,0,,0.621
W23010605W15.jpg,blueberry bush,1,0.8884,0.907,0.8839,0,,0.6243
W23010606W13.jpg,blueberry bush,1,0.7402,0.7962,0.8569,0,,0.5638
W23010606W14.jpg,blueberry bush,1,0.8319,0.8401,0.8751,0,,0.5901
W23010606W15.jpg,blueberry bush,1,0.9155,0.8327,0.8786,0,,0.5964
W23010608W13.jpg,blueberry bush,2,0.5676,0.8694,0.8797,1,,0.5609
W23010608W14.jpg,blueberry bush,3,0.7059,0.92,0.8879,2,,0.6138
