ID,raw_photo,detection_photo,genotype,latitude,longitude,berry-immature,berry-mature,flower,total_detections,is_skipped,leaf_count,leaf_segmentation_photo,LDI Whole (%),LDI Bounded (%),LDI Hull/Solidity (%),Canopy Width (px),Canopy Height (px),Canopy Area (px^2),Canopy Perimeter (px),Convex Hull Area (px^2),Solidity,Bounding Box Area (px^2),Width-Height Ratio,Circularity,Fractal Dimension,Orientation,Major Axis Length,Minor Axis Length,Mean GLI,Mean VARI,Mean Hue,Std Dev Hue,Mean Saturation,Std Dev Saturation,Mean Value,Std Dev Value,Yellow (%),Brown (%),Texture Contrast,Texture Dissimilarity,Texture Homogeneity,Texture Energy,Texture Correlation,Texture ASM
W20100703,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W20100703.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W20100703.jpg,unknown,,,639,7,0,646,no,496,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W20100703.jpg,23.73016176,38.41885027,46.2411644,3456,3202,4251473,128479.0107,9194130.5,0.462411644,11066112,1.079325422,0.003236569,1.35980852,87.27104376,3553.526447,2475.107337,0.17290823,0.19064562,50.35134105,12.13033553,97.73032735,38.57715665,116.5790624,39.00618355,18.96314524,0.002681424,258.8231098,6.291752454,0.452709462,0.306153621,0.977059497,0.093730538
W20101006,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W20101006.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W20101006.jpg,unknown,,,377,1,2,380,no,422,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W20101006.jpg,16.67169572,28.72366615,35.32346607,2687,3870,2986885,201636.0591,8455809.5,0.353234661,10398690,0.694315245,0.000923192,1.452463174,167.606694,3073.917141,2730.659593,0.14882746,0.16221623,49.50753209,11.94274075,87.47760627,35.2241977,107.7635594,32.09116806,21.33413238,0.001439627,249.2828778,6.122867742,0.44618378,0.287210421,0.975564018,0.082490321
W20101105,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W20101105.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W20101105.jpg,unknown,,,304,19,0,323,no,660,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W20101105.jpg,30.24988301,36.96428947,44.96742924,3428,4277,5419540,131485.753,12052145.5,0.449674292,14661556,0.801496376,0.003939262,1.341503983,134.8130416,3527.490351,2833.505298,0.20099805,0.15755166,43.3732481,6.580928225,119.0289216,32.75638764,122.4378981,36.77202697,34.3664776,0.001273171,185.54848,4.561789792,0.564543499,0.441909534,0.980163143,0.195284731
W20110607,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W20110607.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W20110607.jpg,unknown,,,445,0,0,445,no,567,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W20110607.jpg,34.31078889,34.31078889,37.22712798,3456,5184,6147088,410252.0476,16512388.5,0.37227128,17915904,0.666666667,0.000458963,1.476280681,-170.6259524,5195.634209,3627.822791,0.20966795,-0.18837428,41.43905391,7.260620792,129.4246194,42.29338325,122.2417143,45.99424453,55.07572041,0.001968412,362.5343563,7.661857947,0.445860169,0.30441884,0.967226343,0.092671859
W20111302,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W20111302.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W20111302.jpg,unknown,,,316,0,2,318,no,587,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W20111302.jpg,38.85305481,48.61555301,57.28367354,3456,4143,6960876,124417.1713,12151588,0.572836735,14318208,0.834178132,0.005650841,1.313178727,103.0933308,3879.192669,3219.538992,0.2254144,23.014675,44.0707444,8.134277476,130.2844789,44.03703458,135.8118534,54.21928421,36.35780899,0.000703934,315.5418055,7.314291985,0.42626771,0.29282191,0.972112632,0.085745067
W20120705,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W20120705.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W20120705.jpg,unknown,,,243,11,0,254,no,527,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W20120705.jpg,21.94845429,26.29553664,35.13954745,3456,4327,3932264,229229.492,11190423,0.351395475,14954112,0.798705801,0.000940398,1.443053321,80.47754326,3881.522757,2547.374313,0.20575334,11.33738,42.35182531,7.016340211,124.8525636,35.1062866,109.5069733,41.85262077,45.09407303,0.001322393,222.0434196,5.124573431,0.546507709,0.419881271,0.975912076,0.176300737
W21121104,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W21121104.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W21121104.jpg,unknown,,,527,2,1,530,no,364,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W21121104.jpg,19.0063644,25.4766526,34.58203756,3206,4169,3405162,205354.0948,9846620.5,0.345820376,13365814,0.769009355,0.001014708,1.442236381,61.51125704,3516.874219,2438.205194,0.1981942,0.16094206,44.21761373,7.695530488,116.0209503,39.72612208,93.59892099,28.8974414,31.51717892,0.002848616,233.9831981,5.281234349,0.550698068,0.431975567,0.972432641,0.186603307
W21122002,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W21122002.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W21122002.jpg,unknown,,,257,1,0,258,no,378,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W21122002.jpg,17.19967354,23.2945471,29.22633617,3251,4069,3081477,230637.3492,10543494,0.292263362,13228319,0.798967805,0.000727963,1.467420719,81.26392826,3236.402898,2964.595018,0.18976022,9.547556,42.08210219,6.247410917,116.7996428,36.78285822,82.13782254,24.16298354,45.57097132,0.00032452,170.3632512,4.216660933,0.5392801,0.379482695,0.974496959,0.144007457
W21131302,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W21131302.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W21131302.jpg,unknown,,,313,5,0,318,no,271,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W21131302.jpg,15.2345871,27.30720377,38.89780152,2684,3724,2729414,135938.2068,7016885,0.388978015,9995216,0.720730397,0.001856078,1.408089706,150.7996817,3279.204927,2116.246277,0.20602478,1.2618908,43.75974733,6.747203438,120.1021505,37.58386838,106.0070151,32.40754491,31.68310121,0.001538792,167.9707619,4.65917948,0.550659557,0.43541221,0.979887422,0.189584169
W21131702,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/raw/W21131702.jpg,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./detections/W21131702.jpg,unknown,,,340,0,4,344,no,409,/mnt/blueberry-fpt/Pauls/2604-Validation-Data/260723-paul-detection-segmentation/paper-plant-selection/output/./leaf_segmentation/W21131702.jpg,19.56561611,26.74066682,35.14129321,2984,4393,3505357,202360.0674,9975037,0.351412932,13108712,0.679262463,0.001075703,1.43751177,-139.9072545,3336.147094,2813.344203,0.19864443,0.14009154,41.91400163,6.242327771,121.8259216,34.83238244,90.62649653,27.08862994,47.73122966,0.001141111,222.9979656,4.661774576,0.534508487,0.389410697,0.969975947,0.151641272
